Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_0402_1005Metric,-268.8145,60.7,0.0,bottom
C2,10u,C_0402_1005Metric,-267.6145,49.6,0.0,bottom
C3,1u,C_0402_1005Metric,-232.5845,80.44,270.0,bottom
C4,100n,C_0402_1005Metric,-230.2885,48.39,270.0,bottom
C5,100n,C_0402_1005Metric,-229.7085,63.23,90.0,bottom
C6,100n,C_0402_1005Metric,-223.1645,58.5,180.0,bottom
C7,100n,C_0402_1005Metric,-220.5085,54.44,180.0,bottom
C8,100n,C_0402_1005Metric,-229.1185,48.38,270.0,bottom
C9,100n,C_0402_1005Metric,-235.6785,54.39,0.0,bottom
C10,100n,C_0402_1005Metric,-233.1645,59.24,90.0,bottom
C11,100n,C_0402_1005Metric,-235.0885,58.49,0.0,bottom
C12,100n,C_0402_1005Metric,-230.8445,63.21,90.0,bottom
C13,1u,C_0402_1005Metric,-232.5785,63.2,90.0,bottom
C14,1u,C_0402_1005Metric,-233.7885,63.21,90.0,bottom
C15,27p,C_0402_1005Metric,-230.2185,41.49,0.0,bottom
C16,27p,C_0402_1005Metric,-232.5985,41.48,180.0,bottom
D1,1N4148WT,D_SOD-523,-272.392,76.11,180.0,bottom
F1,BSMD0603-050-12V,Fuse_0603_1608Metric,-269.5445,82.88,270.0,bottom
J1,ST-0277D00-052-142,ST-0277D00-052-142,-190.9145,94.5,0.0,bottom
J3,TYPE-C-31-M-13C,TYPE-C-31-M-13C,-267.1145,97.4,180.0,bottom
LED1,YS-SK6812MINI-E,YS-SK6812MINI-E,-276.6395,90.395,180.0,bottom
LED2,YS-SK6812MINI-E,YS-SK6812MINI-E,-257.5895,90.375,180.0,bottom
LED3,YS-SK6812MINI-E,YS-SK6812MINI-E,-238.5395,90.375,180.0,bottom
LED4,YS-SK6812MINI-E,YS-SK6812MINI-E,-219.4895,90.375,180.0,bottom
LED5,YS-SK6812MINI-E,YS-SK6812MINI-E,-200.4395,90.375,180.0,bottom
LED6,YS-SK6812MINI-E,YS-SK6812MINI-E,-181.3895,90.375,180.0,bottom
LED7,YS-SK6812MINI-E,YS-SK6812MINI-E,-276.6395,71.325,0.0,bottom
LED8,YS-SK6812MINI-E,YS-SK6812MINI-E,-257.5895,71.325,0.0,bottom
LED9,YS-SK6812MINI-E,YS-SK6812MINI-E,-238.5395,71.325,0.0,bottom
LED10,YS-SK6812MINI-E,YS-SK6812MINI-E,-219.4895,71.325,0.0,bottom
LED11,YS-SK6812MINI-E,YS-SK6812MINI-E,-200.4395,71.325,0.0,bottom
LED12,YS-SK6812MINI-E,YS-SK6812MINI-E,-181.3895,71.325,0.0,bottom
LED13,YS-SK6812MINI-E,YS-SK6812MINI-E,-276.6395,52.275,180.0,bottom
LED14,YS-SK6812MINI-E,YS-SK6812MINI-E,-257.5895,52.275,180.0,bottom
LED15,YS-SK6812MINI-E,YS-SK6812MINI-E,-238.5395,52.275,180.0,bottom
LED16,YS-SK6812MINI-E,YS-SK6812MINI-E,-219.4895,52.275,180.0,bottom
LED17,YS-SK6812MINI-E,YS-SK6812MINI-E,-200.4395,52.275,180.0,bottom
LED18,YS-SK6812MINI-E,YS-SK6812MINI-E,-181.3895,52.275,180.0,bottom
LED19,YS-SK6812MINI-E,YS-SK6812MINI-E,-276.6395,33.225,0.0,bottom
LED20,YS-SK6812MINI-E,YS-SK6812MINI-E,-257.5895,33.225,0.0,bottom
LED21,YS-SK6812MINI-E,YS-SK6812MINI-E,-238.5395,33.225,0.0,bottom
LED22,YS-SK6812MINI-E,YS-SK6812MINI-E,-219.4895,33.225,0.0,bottom
LED23,YS-SK6812MINI-E,YS-SK6812MINI-E,-200.4395,33.225,0.0,bottom
LED24,YS-SK6812MINI-E,YS-SK6812MINI-E,-181.3895,33.225,0.0,bottom
R1,5.1k,R_0402_1005Metric,-270.3645,89.12,270.0,bottom
R2,5.1k,R_0402_1005Metric,-263.8545,89.12,270.0,bottom
R3,10k,R_0402_1005Metric,-231.1645,80.42,90.0,bottom
R4,1k,R_0402_1005Metric,-229.7345,80.4,90.0,bottom
R5,27,R_0402_1005Metric,-235.5645,75.6,180.0,bottom
R6,27,R_0402_1005Metric,-235.5545,74.48,0.0,bottom
R7,1k,R_0402_1005Metric,-234.2585,44.72,90.0,bottom
rC1,10u,C_0402_1005Metric,-68.3045,60.7,0.0,bottom
rC2,10u,C_0402_1005Metric,-67.1045,49.6,0.0,bottom
rC3,1u,C_0402_1005Metric,-108.2845,80.44,270.0,bottom
rC4,100n,C_0402_1005Metric,-105.9885,48.39,270.0,bottom
rC5,100n,C_0402_1005Metric,-105.4085,63.23,90.0,bottom
rC6,100n,C_0402_1005Metric,-98.8645,58.5,180.0,bottom
rC7,100n,C_0402_1005Metric,-96.2085,54.44,180.0,bottom
rC8,100n,C_0402_1005Metric,-104.8185,48.38,270.0,bottom
rC9,100n,C_0402_1005Metric,-111.3785,54.39,0.0,bottom
rC10,100n,C_0402_1005Metric,-108.8645,59.24,90.0,bottom
rC11,100n,C_0402_1005Metric,-110.7885,58.49,0.0,bottom
rC12,100n,C_0402_1005Metric,-106.5445,63.21,90.0,bottom
rC13,1u,C_0402_1005Metric,-108.2785,63.2,90.0,bottom
rC14,1u,C_0402_1005Metric,-109.4885,63.21,90.0,bottom
rC15,27p,C_0402_1005Metric,-105.9185,41.49,0.0,bottom
rC16,27p,C_0402_1005Metric,-108.2985,41.48,180.0,bottom
rD1,1N4148WT,D_SOD-523,-71.882,76.11,180.0,bottom
rF1,BSMD0603-050-12V,Fuse_0603_1608Metric,-69.0345,82.88,270.0,bottom
rJ1,ST-0277D00-052-142,ST-0277D00-052-142,-142.8145,94.5,0.0,bottom
rJ3,TYPE-C-31-M-13C,TYPE-C-31-M-13C,-66.6145,97.4,180.0,bottom
rLED1,YS-SK6812MINI-E,YS-SK6812MINI-E,-152.3395,90.375,180.0,bottom
rLED2,YS-SK6812MINI-E,YS-SK6812MINI-E,-133.2895,90.375,180.0,bottom
rLED3,YS-SK6812MINI-E,YS-SK6812MINI-E,-114.2395,90.375,180.0,bottom
rLED4,YS-SK6812MINI-E,YS-SK6812MINI-E,-95.1895,90.375,180.0,bottom
rLED5,YS-SK6812MINI-E,YS-SK6812MINI-E,-76.1395,90.375,180.0,bottom
rLED6,YS-SK6812MINI-E,YS-SK6812MINI-E,-57.0895,90.375,180.0,bottom
rLED7,YS-SK6812MINI-E,YS-SK6812MINI-E,-152.3395,71.325,0.0,bottom
rLED8,YS-SK6812MINI-E,YS-SK6812MINI-E,-133.2895,71.325,0.0,bottom
rLED9,YS-SK6812MINI-E,YS-SK6812MINI-E,-114.2395,71.325,0.0,bottom
rLED10,YS-SK6812MINI-E,YS-SK6812MINI-E,-95.1895,71.325,0.0,bottom
rLED11,YS-SK6812MINI-E,YS-SK6812MINI-E,-76.1395,71.325,0.0,bottom
rLED12,YS-SK6812MINI-E,YS-SK6812MINI-E,-57.0895,71.325,0.0,bottom
rLED13,YS-SK6812MINI-E,YS-SK6812MINI-E,-152.3395,52.275,180.0,bottom
rLED14,YS-SK6812MINI-E,YS-SK6812MINI-E,-133.2895,52.275,180.0,bottom
rLED15,YS-SK6812MINI-E,YS-SK6812MINI-E,-114.2395,52.275,180.0,bottom
rLED16,YS-SK6812MINI-E,YS-SK6812MINI-E,-95.1895,52.275,180.0,bottom
rLED17,YS-SK6812MINI-E,YS-SK6812MINI-E,-76.1395,52.275,180.0,bottom
rLED18,YS-SK6812MINI-E,YS-SK6812MINI-E,-57.0895,52.275,180.0,bottom
rLED19,YS-SK6812MINI-E,YS-SK6812MINI-E,-152.3395,33.225,0.0,bottom
rLED20,YS-SK6812MINI-E,YS-SK6812MINI-E,-133.2895,33.225,0.0,bottom
rLED21,YS-SK6812MINI-E,YS-SK6812MINI-E,-114.2395,33.225,0.0,bottom
rLED22,YS-SK6812MINI-E,YS-SK6812MINI-E,-95.1895,33.225,0.0,bottom
rLED23,YS-SK6812MINI-E,YS-SK6812MINI-E,-76.1395,33.225,0.0,bottom
rLED24,YS-SK6812MINI-E,YS-SK6812MINI-E,-57.0895,33.225,0.0,bottom
rR1,5.1k,R_0402_1005Metric,-69.8545,89.12,270.0,bottom
rR2,5.1k,R_0402_1005Metric,-63.3445,89.12,270.0,bottom
rR3,10k,R_0402_1005Metric,-106.8645,80.42,90.0,bottom
rR4,1k,R_0402_1005Metric,-105.4345,80.4,90.0,bottom
rR5,27,R_0402_1005Metric,-111.2045,75.62,0.0,bottom
rR6,27,R_0402_1005Metric,-111.1845,74.48,180.0,bottom
rR7,1k,R_0402_1005Metric,-109.9585,44.72,90.0,bottom
rSMDSW1,TS-1088R-02026,TS-1088R-02026,-102.6145,91.46,270.0,bottom
rSMDSW2,TS-1088R-02026,TS-1088R-02026,-106.6345,91.45,270.0,bottom
rSW1,SW_Push,keyswitch_choc12_hotswap_1u,-152.3395,85.625,0.0,bottom
rSW2,SW_Push,keyswitch_choc12_hotswap_1u,-133.2895,85.625,0.0,bottom
rSW3,SW_Push,keyswitch_choc12_hotswap_1u,-114.2395,85.625,0.0,bottom
rSW4,SW_Push,keyswitch_choc12_hotswap_1u,-95.1895,85.625,0.0,bottom
rSW5,SW_Push,keyswitch_choc12_hotswap_1u,-76.1395,85.625,0.0,bottom
rSW6,SW_Push,keyswitch_choc12_hotswap_1u,-57.0895,85.625,0.0,bottom
rSW7,SW_Push,keyswitch_choc12_hotswap_1u,-152.3395,66.575,0.0,bottom
rSW8,SW_Push,keyswitch_choc12_hotswap_1u,-133.2895,66.575,0.0,bottom
rSW9,SW_Push,keyswitch_choc12_hotswap_1u,-114.2395,66.575,0.0,bottom
rSW10,SW_Push,keyswitch_choc12_hotswap_1u,-95.1895,66.575,0.0,bottom
rSW11,SW_Push,keyswitch_choc12_hotswap_1u,-76.1395,66.575,0.0,bottom
rSW12,SW_Push,keyswitch_choc12_hotswap_1u,-57.0895,66.575,0.0,bottom
rSW13,SW_Push,keyswitch_choc12_hotswap_1u,-152.3395,47.525,0.0,bottom
rSW14,SW_Push,keyswitch_choc12_hotswap_1u,-133.2895,47.525,0.0,bottom
rSW15,SW_Push,keyswitch_choc12_hotswap_1u,-114.2395,47.525,0.0,bottom
rSW16,SW_Push,keyswitch_choc12_hotswap_1u,-95.1895,47.525,0.0,bottom
rSW17,SW_Push,keyswitch_choc12_hotswap_1u,-76.1395,47.525,0.0,bottom
rSW18,SW_Push,keyswitch_choc12_hotswap_1u,-57.0895,47.525,0.0,bottom
rSW19,SW_Push,keyswitch_choc12_hotswap_1u,-152.3395,28.475,0.0,bottom
rSW20,SW_Push,keyswitch_choc12_hotswap_1u,-133.2895,28.475,0.0,bottom
rSW21,SW_Push,keyswitch_choc12_hotswap_1u,-114.2395,28.475,0.0,bottom
rSW22,SW_Push,keyswitch_choc12_hotswap_1u,-95.1895,28.475,0.0,bottom
rSW23,SW_Push,keyswitch_choc12_hotswap_1u,-76.1395,28.475,0.0,bottom
rSW24,SW_Push,keyswitch_choc12_hotswap_1u,-57.0895,28.475,0.0,bottom
rU1,NCP1117LPST33T3G,SOT-223-3_TabPin2,-66.6045,55.3,270.0,bottom
rU2,TPD4E05U06DQAR,USON-10_2.5x1.0mm_P0.5mm,-66.6145,87.26,90.0,bottom
rU3,W25Q128JVSIQ,SOIC-8_5.23x5.23mm_P1.27mm,-102.8245,76.17,0.0,bottom
rU4,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,-104.1145,54.85,0.0,bottom
rY1,12MHz 18pF,Crystal_SMD_3225-4Pin_3.2x2.5mm,-107.1085,43.93,0.0,bottom
rZD1,ESD5Z5V0C,D_SOD-523,-70.7445,82.65,270.0,bottom
SMDSW1,TS-1088R-02026,TS-1088R-02026,-226.9145,91.46,270.0,bottom
SMDSW2,TS-1088R-02026,TS-1088R-02026,-230.9345,91.45,270.0,bottom
SW1,SW_Push,keyswitch_choc12_hotswap_1u,-276.6395,85.625,0.0,bottom
SW2,SW_Push,keyswitch_choc12_hotswap_1u,-257.5895,85.625,0.0,bottom
SW3,SW_Push,keyswitch_choc12_hotswap_1u,-238.5395,85.625,0.0,bottom
SW4,SW_Push,keyswitch_choc12_hotswap_1u,-219.4895,85.625,0.0,bottom
SW5,SW_Push,keyswitch_choc12_hotswap_1u,-200.4395,85.625,0.0,bottom
SW6,SW_Push,keyswitch_choc12_hotswap_1u,-181.3895,85.625,0.0,bottom
SW7,SW_Push,keyswitch_choc12_hotswap_1u,-276.6395,66.575,0.0,bottom
SW8,SW_Push,keyswitch_choc12_hotswap_1u,-257.5895,66.575,0.0,bottom
SW9,SW_Push,keyswitch_choc12_hotswap_1u,-238.5395,66.575,0.0,bottom
SW10,SW_Push,keyswitch_choc12_hotswap_1u,-219.4895,66.575,0.0,bottom
SW11,SW_Push,keyswitch_choc12_hotswap_1u,-200.4395,66.575,0.0,bottom
SW12,SW_Push,keyswitch_choc12_hotswap_1u,-181.3895,66.575,0.0,bottom
SW13,SW_Push,keyswitch_choc12_hotswap_1u,-276.6395,47.525,0.0,bottom
SW14,SW_Push,keyswitch_choc12_hotswap_1u,-257.5895,47.525,0.0,bottom
SW15,SW_Push,keyswitch_choc12_hotswap_1u,-238.5395,47.525,0.0,bottom
SW16,SW_Push,keyswitch_choc12_hotswap_1u,-219.4895,47.525,0.0,bottom
SW17,SW_Push,keyswitch_choc12_hotswap_1u,-200.4395,47.525,0.0,bottom
SW18,SW_Push,keyswitch_choc12_hotswap_1u,-181.3895,47.525,0.0,bottom
SW19,SW_Push,keyswitch_choc12_hotswap_1u,-276.6395,28.475,0.0,bottom
SW20,SW_Push,keyswitch_choc12_hotswap_1u,-257.5895,28.475,0.0,bottom
SW21,SW_Push,keyswitch_choc12_hotswap_1u,-238.5395,28.475,0.0,bottom
SW22,SW_Push,keyswitch_choc12_hotswap_1u,-219.4895,28.475,0.0,bottom
SW23,SW_Push,keyswitch_choc12_hotswap_1u,-200.4395,28.475,0.0,bottom
SW24,SW_Push,keyswitch_choc12_hotswap_1u,-181.3895,28.475,0.0,bottom
U1,NCP1117LPST33T3G,SOT-223-3_TabPin2,-267.1145,55.3,270.0,bottom
U2,TPD4E05U06DQAR,USON-10_2.5x1.0mm_P0.5mm,-267.1245,87.26,90.0,bottom
